127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.001595
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002116
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000737
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000486
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001789
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001729
127.0.0.1, 2015-11-14 10:07:56, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 304, 0.000272
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/default/site, HTTP/1.1, 303, 0.077791
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/default/index, HTTP/1.1, 200, 0.035564
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.001817
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000974
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.001885
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.002085
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.001508
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001601
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.003764
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003284
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001717
127.0.0.1, 2015-11-14 10:08:01, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002748
127.0.0.1, 2015-11-14 10:08:03, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000367
127.0.0.1, 2015-11-14 10:08:03, POST, /admin/default/index, HTTP/1.1, 303, 0.043313
127.0.0.1, 2015-11-14 10:08:03, GET, /admin/default/site, HTTP/1.1, 200, 0.044832
127.0.0.1, 2015-11-14 10:08:03, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.000455
127.0.0.1, 2015-11-14 10:08:03, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.003953
127.0.0.1, 2015-11-14 10:08:03, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001971
127.0.0.1, 2015-11-14 10:08:04, POST, /admin/default/check_version, HTTP/1.1, 200, 0.734935
127.0.0.1, 2015-11-14 10:08:04, GET, /admin/static/_2.12.3/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.000388
127.0.0.1, 2015-11-14 10:08:06, GET, /addrest_demo/default/index, HTTP/1.1, 500, 0.221054
127.0.0.1, 2015-11-14 10:08:08, GET, /admin/default/ticket/addrest_demo/127.0.0.1.2015-11-14.10-08-06.1b8900af-74c4-4e45-a075-7cc27acdaec0, HTTP/1.1, 200, 0.060840
127.0.0.1, 2015-11-14 10:08:08, GET, /admin/static/_2.12.3/images/help.png, HTTP/1.1, 200, 0.000317
127.0.0.1, 2015-11-14 10:09:24, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.024332
127.0.0.1, 2015-11-14 10:09:27, GET, /addrest_demo/default/<%=basePath%>, HTTP/1.1, 400, 0.000381
127.0.0.1, 2015-11-14 10:10:59, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.025620
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/default/user/login, HTTP/1.1, 200, 0.021049
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002586
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/js/jquery.js, HTTP/1.1, 200, 0.000830
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001718
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/js/calendar.js, HTTP/1.1, 200, 0.004276
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/css/calendar.css, HTTP/1.1, 200, 0.003654
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005167
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001424
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.001227
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001837
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/js/web2py.js, HTTP/1.1, 200, 0.001577
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/js/share.js, HTTP/1.1, 200, 0.000906
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/images/twitter.png, HTTP/1.1, 200, 0.001275
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/images/gplus-32.png, HTTP/1.1, 200, 0.000656
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/images/facebook.png, HTTP/1.1, 200, 0.001311
127.0.0.1, 2015-11-14 10:11:01, GET, /addrest_demo/static/images/favicon.ico, HTTP/1.1, 200, 0.000344
127.0.0.1, 2015-11-14 10:11:03, GET, /addrest_demo/default/user/register, HTTP/1.1, 200, 0.019501
127.0.0.1, 2015-11-14 10:11:12, POST, /addrest_demo/default/user/register, HTTP/1.1, 303, 0.030583
127.0.0.1, 2015-11-14 10:11:12, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.012422
127.0.0.1, 2015-11-14 10:12:47, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.026082
127.0.0.1, 2015-11-14 10:13:00, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.015031
127.0.0.1, 2015-11-14 10:57:40, GET, /addrest_demo/default/index, HTTP/1.1, 200, 0.037569
127.0.0.1, 2015-11-14 10:57:41, GET, /favicon.ico, HTTP/1.1, 400, 0.000232
